Name,Price,Rating,Total_Reviews,About,Link
"Samsung Galaxy S25 5G AI Smartphone (Silver Shadow, 12GB RAM, 512GB Storage), 50MP Camera with Galaxy AI","92,999.",Previous page,error," 
 About this item    Introducing Galaxy S25, your true AI companion. Powered by the next chapter of Galaxy AI with multi-modality, and the most advanced Galaxy fundamentals, Galaxy S25 naturally adapts to you: learning your patterns, anticipating your needs, and connecting your world. Be it helping in getting multiple tasks done by performing seamless actions across apps or offering personalized insights to get you through your day with Now Brief.    With Galaxy S25, easily get rid of unwanted background noise from your videos and make them share-worthy with Audio Eraser.    Galaxy S25 lets you capture epic portraits every single time thanks to its enhanced object-aware engine that can adapt to various lighting environments. It also offers unrivaled Nightography video with more precise noise removal. Say goodbye to grainy night footage.    Enjoy multi-tasking and epic performance with the most powerful processor customized for Galaxy - Snapdragon 8 Elite.    Framed in Armor Aluminum and strengthened with Corning Gorilla Glass Victus 2, stay worry free with Galaxy S25.    
 ›  See more product details   ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzQyNTk5MzM5NDU0OTU1OjE3Mzg2NTA3ODA6c3BfYXRmOjMwMDQ2NjY2NjE1ODEzMjo6MDo6&url=%2FSamsung-Galaxy-Smartphone-Silver-Storage%2Fdp%2FB0DSKML64B%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1738650780%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Tecno POP 9 5G Aurora Cloud, 4GB+128GB| Segment's 1st 48MP Sony AI Camera| Segment's 1st 5G with NFC | D6300 5G Processor | 4+ Year Lag Free Fluency |5000 mAh Battery |Dual Speaker |Without Charger","8,999.",4.0 out of 5 stars,270 ratings," 
 About this item    Segment's 1st 48MP Sony AI Camera : Capture breathtaking images with incredible detail and enhanced clarity    Segment's 1st 5G with NFC : Experience lightning-fast connectivity with All Directional NFC    6nm D6300 5G Powerful Processor : Experience exceptional power and efficiency with a cutting-edge 6nm technology processor for rapid tasks.    Up to 8GB* RAM + 128GB ROM | (*) Memory Fusion : Experience blazing fast connectivity and seamless multitasking with generous storage space.    4+ Years of Lag free experience : Enjoy smooth performance and reliability over four years, free from slowdowns or interruptions.    IR Remote : Effortlessly connect and control devices with built-in infrared features for convenience.    Dolby Atmos : Enjoy Immersive sound experience in louder spaces.    
   IP54 Splash and Dust Resistant : Stay worry-free against splashes and dust. Get 2 free vibrant design back skins to switch up your mobile look—right inside the box!   Show More   ›  See more product details   ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzQyNTk5MzM5NDU0OTU1OjE3Mzg2NTA3ODA6c3BfYXRmOjMwMDM0MTQzMTAzNTczMjo6MDo6&url=%2FTecno-Segments-Processor-Fluency-Battery%2Fdp%2FB0DGMQB5RG%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1738650780%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","8,498.",4.0 out of 5 stars,"1,781 ratings", ,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w&dib_tag=se&keywords=mobiles&qid=1738650780&s=electronics&sr=1-3
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,499.",4.0 out of 5 stars,"1,805 ratings"," 
 About this item    Captivating viewing experience on bigger 6.7"" Display with HD+ resolution (720*1600 Pixels) | 20:9 Aspect Ratio    50 MP High-resolution Dual Camera (f/1.8) for sharp and detailed pictures| 8 MP Front camera (f/2.0) for stunning selfie | FHD (1920*1080) Video resolution    Get a massive 5000mAh with C-Type 25 W Fast Charging    Latest Android 14 Operating System having One UI Core 6.0 platform | 2GHz, 1.8GHz Clock Speed with Octa-Core Processor | 8 GB RAM with RAM Plus | Expandable Memory upto 1 TB    Get upto 2 Generations of AndroidOS Upgrades & 4 Years of Security Updates with Samsung Galaxy M05.    
 ›  See more product details   ",https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w&dib_tag=se&keywords=mobiles&qid=1738650780&s=electronics&sr=1-4
"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","9,099.",4.0 out of 5 stars,"12,115 ratings"," 
 About this item    Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 8GB of RAM including 4GB virtual | 6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery    6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection, 600nits in High Brightness mode    50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |    
 ›  See more product details   ",https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX89QR8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w&dib_tag=se&keywords=mobiles&qid=1738650780&s=electronics&sr=1-5
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","7,498.",4.0 out of 5 stars,"1,781 ratings"," 
 About this item    [90Hz Eye Comfort Display, IP54 Dust & Water Resistance]    
 ›  See more product details   ",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D945V84N/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w&dib_tag=se&keywords=mobiles&qid=1738650780&s=electronics&sr=1-6
POCO C61 Ethereal Blue 4GB RAM 64GB ROM,"5,999.",3.8 out of 5 stars,268 ratings," 
 About this item    High performance MediaTek Helio G36,upto 2.2GHz; | 6.71"" HD+ 90Hz Display with GG3 Protection | Upto 8GB RAM including 4GB Virtual RAM |64GB Storage | Fast Side fingerprint sensor    Display: Large 17.04 cm 90Hz dot display with Corning Gorilla Glass 3 protection | 500nits peak brightness | 180Hz Touch sampling Rate    Camera: 8MP AI Dual camera with Google lens, Portrait mode and classic film filters| 5MP Front camera    5000mAh(typ) battery and 10W charger in-box with USB Type-C    Expandable Storage to upto 1TB with Dedicated MicroSD card Slot | 3.5mm headphone jack | Android 14 | Side fingerprint sensor | MIUI Dialer    
 ›  See more product details   ",https://www.amazon.in/POCO-C61-Ethereal-Blue-64GB/dp/B0CYBLHZPW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w&dib_tag=se&keywords=mobiles&qid=1738650780&s=electronics&sr=1-7
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)","17,998.",4.1 out of 5 stars,"4,454 ratings"," 
 About this item    5500 mAh Battery & Reverse Charging: Ditch the power bank and press play all day with Nord CE4 Lite’s gigantic 5,500 mAh battery. You’ll even have enough juice to charge up your buddy’s phone with reverse wired charging    80W SUPERVOOC Fast Charging: Add excitement to your day with 80W SUPERVOOC fast charging, which fully replenishes the hefty battery in just 20 minutes, ensuring a day's worth of power in no time.    Superior snaps by Sony: Harness the power of the 50MP Sony LYT-600 main camera, bringing the capability to capture stunning Sony-quality photos and videos directly into your palm.    Boosted Battery Health: Battery Health Engine, with its smart AI and hardware combo, learns how you charge. It extends your battery life to 4 years, even with daily charges up to 80% or more. Easily track and adjust settings to get the most out of your phone.    Super Bright AMOLED Display: Dive into the world of bold colors and crisp visuals with 6.67inch 120Hz AMOLED Display. No more squinting outdoors or running for shade with our super-bright display that comes with 2,100 nits peak brightness.    Dual Stereo Speakers: Experience an astonishing 300% increase in volume with the OnePlus Nord CE4 Lite’s dual stereo speakers. You won’t need earplugs, but you might need to apologize to your neighbors for the party vibes!    AI Smart Cutout: Use AI Smart Cutout to swiftly edit photos, choose and personalize cutout selections, and share them with a single tap.    OxygenOS14: OxygenOS 14 isn’t just smarter—it’s designed to deliver sustained smoothness and security with guaranteed support for two major Android updates and three years of essential security updates.    
 ›  See more product details   ",https://www.amazon.in/OnePlus-Super-Silver-128GB-Storage/dp/B0D5YCYS1G/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w&dib_tag=se&keywords=mobiles&qid=1738650780&s=electronics&sr=1-8
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","8,499.",4.0 out of 5 stars,"1,071 ratings"," 
 About this item    High performance - Snapdragon 4s Gen 2 5G Processor | Large 17.47cm 120Hz Display | Upto 8GB RAM including 4GB Virtual RAM |64GB Storage | Fast Side fingerprint sensor    Display: Large 17.47 cm 120Hz Refresh Rate display | 600nits peak brightness | 240Hz Touch sampling Rate | TUV triple certified eye care protection    Camera: 50MP Dual camera | 5MP Front camera    5160mAh(typ) battery with 18W fast charging support and 33W charger in-box with USB Type-C    Expandable Storage to upto 1TB with Dedicated MicroSD card Slot | 3.5mm headphone jack | Android 14 | Side fingerprint sensor    Supports 4G+ 5G SA network | Note : 5G NSA not supported | Please check availability of Standalone 5G with your networks provider    
 ›  See more product details   ",https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW427YG/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w&dib_tag=se&keywords=mobiles&qid=1738650780&s=electronics&sr=1-9
"Redmi A3X (Midnight Black, 64 GB) (4 GB RAM)","6,174.",4.1 out of 5 stars,13 ratings," 
 About this item    4 GB RAM | 64 GB ROM | Expandable Upto 1 TB    17.04 cm (6.71 inch) HD+ Display    8MP Rear Camera | 5MP Front Camera    5000 mAh Battery    
 ›  See more product details   ",https://www.amazon.in/Redmi-A3X-Midnight-Black-RAM/dp/B0DN1XC123/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-3XapyEtOcgfCY4GmoKYM_EBWh6H7g5P2uCKXxztzjsG0aPGX6Sh5Gn3pih4SQIB-sQA-2iYlWpxFQGguubTv-1WkAcPUlwJ3rEsfVRGimpCtT9h20NVx5C7eK3C2eUwipy6p01avy2icvrhY6MXNcgoVnJevp_qPRhVmq-rIpHp_t4S6Q-3MXGCWsnjm8JFfVvHZFD-Y5OdgAiaGnZ-c0W6cbBDyX4CcbfBoGa88VTdhO_bCfD0rE6O2IKCEOLvjdKw4Bli4ccqfIMvfQISspTnKgKLTWhafSkvZG-yt5g.Ds_SUNnqJtVTgZyTRmZNOATVsPEDO1icY5nLFdZ489w&dib_tag=se&keywords=mobiles&qid=1738650780&s=electronics&sr=1-10
